"","ID","Div","Measure","Value","Category","Question"
"724",104,"MSD","Code","I WORK IN EPIDEMIOLOGY USING ROUTINELY COLLECTED DATA. THERE ARE ALMOST ALWAYS LOTS OF DIFFERENT WAYS TO ANSWER THE SAME QUESTION. USING A DIVERSITY OF WAYS INCREASES THE CONFIDENCE IN THE ANSWERS. IF CODE IS AVAILABLE, THE TEMPTATION IS TO USE THAT CODE (OR VERY SIMILAR CODE), WHICH WILL REDUCE THE NUMBER OF APPROACHES USED, AND MAY HARM THE OVERALL PROCESS.
I ASSUME YOU'RE NOT REFERRING TO SHARING 'CODELISTS' WHICH IS A DIFFERENT MATTER, BUT MIGHT REASONABLY BE IMAGINED TO HAVE THE SAME EFFECT - IF NO-ONE HAS TO THINK ABOUT WHICH MEDICAL CODES TO USE, THE LIST IS LIKELY TO LESS COMPLETE/UP TO DATE. 
I STRUGGLE TO REVIEW HALF THE PAPERS SENT TO ME AS IT IS. PUBLISHING THE CODE SEEMS TO NECESSITATE REVIEW OF THE CODE. IMAGINE HOW MUCH HARDER IT WILL BE TO FIND PEOPLE TO REVIEW THE CODE AS WELL AS THE PAPER, IN THE LANGUAGE THAT IT HAS BEEN WRITTEN IN. ""SORRY, I CAN'T REVIEW THIS PAPER, I DON'T KNOW PYTHON/R/STATA/ETC"" 

ANOTHER PROBLEM IS THAT BEAUTIFUL CODING != GOOD SCIENCE. ONE CAN PERFORM GOOD SCIENCE WITHOUT CODING AT ALL - ONE COULD SIMPLY RUN MODELS IN MOST PACKAGES WITH CLICKING ON THE INTERFACES. SOME OF MY STUDENTS HAVE DONE THIS. THE UNDERLYING MODEL AND THE RESULTS ARE THE SAME. HOW WOULD ONE SHARE THIS? WHY SHOULD PEOPLE WHO ARE NOT INTO 'CODING' (WHICH TAKES YEARS TO LEARN) BE PENALISED AND HUMILIATED BY PEOPLE WHO ARE? EVEN THE TERM 'CODE SHARING' IN A TERM USED BY AN IN-GROUP OF PEDANTS WITH A PARTICULAR EPISTEMOLOGICAL APPROACH TO THE WORLD. ONE COULD REASONABLY ARGUE THIS IS AN AGENDA PUSHED BY CODERS WHO WISH TO INCREASE THEIR OWN STATUS AND IMPORTANCE, RATHER THAN PROGRESS SCIENCE. ","Reduce diversity of approaches","WD"
"723",104,"MSD","Data","NOT EVERYONE IN THE WORLD IS GOOD. FOR EXAMPLE THERE ARE MALIGN ACTORS WHO WILL LEVER ANY AVAILABLE DATA TO HARM DEMOCRACIES. ","No control over validity of reuse, misrepresentation, misuse","WD"
"722",104,"MSD","OA","THIS MEANS ONLY PEOPLE WITH LOTS OF MONEY CAN PUBLISH, WHICH IS LIKELY TO FURTHER INCREASE PUBLICATION BIAS.","Financial cost","WD"
"730",105,"SSD","Data","NO NORM FOR CITATION OF DATASET WHICH ARE COSTLY TO PRODUCE  - HOW CAN THE NEXT GRANT BE OBTAINED IF OTHERS PUBLISH WHAT WE TAKE TIME TO PUT ONLINE FOR FREE?","No norm for citation","WD"
"729",105,"SSD","OA","AS THINGS ARE: RESERCHERS FROM POORER COUNTRIES CANNOT EASILY PUBLISH IN HIGH IMPACT FACTOR JOURNALS","Financial cost","WD"
"733",105,"SSD","Preprint","ECOLOGICAL COST OF HAVING DUPLICATE INFORMATION (PREPRINT + PUBLICATION?)","Ecological cost","WD"
"738",106,"MSD","Code","IT WOULD LIKELY SLOW DOWN THE OUTPUT AS PEOPLE WILL FEEL THE NEED TO ""TIDY UP"" THEIR CODE BEFORE IT IS MADE PUBLIC, HOWEVER THE UPSIDE WOULD BE THAT PEOPLE WOULD BE MORE CAREFUL TO MAKE SURE THEIR CODE IS CORRECT.","Time investment","WD"
"744",107,"MSD","Data","THERE IS LITTLE OR NO CONSIDERATION OF ISSUES TO DO WITH DATA PROTECTION.  MULTIPLE SHARED DATA ABOUT THE SAME PERSON IN DIFFERENT STUDIES, IF LINKED (WHICH MIGHT BE POSSIBLE WITH SUBSTANDARD ANONYMISATION, AND RESEARCHERS ARE OFTEN NOT DATA MANAGEMENT EXPERTS), COULD LEAD TO IDENTIFIABLE SENSITIVE DATA IN THE PUBLIC DOMAIN WITHOUT PERMISSION (E.G. DATA ON SENSITIVE MEDICAL CONDITIONS, PROTECTED CHARACTERISTICS SUCH AS SEXUALITY, OR OTHER DATA THAT COULD CAUSE HARM TO THE SUBJECT IF DISCLOSED.)","Ethical, safety, or security concerns","WD"
"743",107,"MSD","OA","PUBLISHERS HAVE CARTE BLANCHE TO SET ARTICLE PROCESSING CHARGES AT WHATEVER LEVEL THEY LIKE, AND WE JUST HAVE TO PUT UP WITH IT.  WE STILL DO ALL THE ACTUAL WORK FOR FREE (FORMATTING, PROOFS, PEER REVIEWING ETC)","Financial cost","WD"
"751",108,"MSD","Data","CONCERNS OVER OUR RESPONSIBILITY UNDER DPA (OR SIMILAR ETHICS)","Ethical, safety, or security concerns","WD"
"758",109,"SSD","Data","PRIVACY CONCERNS AND AGREEMENTS ON USE ARE DIFFICULT TO IMPLEMENT AND CONTROL ","Ethical, safety, or security concerns","WD"
"769",110,"MPLS","Prereg","MANY DISCOVERIES ARE FORTUITOUS AND UNPREDICTABLE ","Impedes flexibility in protocols","WD"
"770",110,"MPLS","RegRep","MANY DISCOVERIES ARE FORTUITOUS AND UNPREDICTABLE ","Impedes flexibility in protocols","WD"
"773",111,"MSD","Code","CAREFUL PROTECTION OF IP IS ALSO IMPORTANT","Intellectual property concerns","WD"
"772",111,"MSD","Data","PATIENT PRIVACY MUST BE PRESERVED; CAREFUL PROTECTION OF IP IS ALSO IMPORTANT","Ethical, safety, or security concerns","WD"
"779",111,"MSD","Data","PATIENT PRIVACY MUST BE PRESERVED; CAREFUL PROTECTION OF IP IS ALSO IMPORTANT","Intellectual property concerns","WD"
"777",111,"MSD","RegRep","TIME COST","Time investment","WD"
